time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.07582288349e-06,1.15216913172e-07,9.00226878502,0.000130470559371,0.000795733885569,0.0,-8.31544461437e-05,1.05752081291e-05,0.075623491952,0.00620316384157,0.0315117127034,0.0,427.1072569991316,429.7858651502155,429.4800492746726,430.00571668591954
0.12000000000000001,-3.31806872629e-05,5.37030815058e-06,9.0126957845,0.000190678998665,0.00281489863166,0.0,-0.00121465041677,0.000193019909843,0.271915904553,-0.012227483755,0.0376227734512,0.0,465.86815425094,466.34605074539303,467.55048589101534,466.11260327612587
0.18,-0.000176303337641,1.80674550238e-05,9.03302496562,6.28233661708,0.00524988594584,0.0,-0.0038076632354,0.000138233223358,0.405683882747,-0.0302062999026,0.0459275885753,0.0,447.2907884406874,447.96733543561015,448.2706723277098,446.8075968394068
0.23999999999999996,-0.000515590731349,3.5338073686e-06,9.05892380366,6.28023210045,0.00816473906216,0.0,-0.00777127731841,-0.00080620241506,0.457588996134,-0.0472239446511,0.0534181904375,0.0,421.5446177013873,422.19288209378453,421.9726959348758,420.50063964371367
0.3,-0.00116420020818,-0.000116665122394,9.08947907139,6.27773010658,0.0118103709593,0.0,-0.0142028174311,-0.00347182122756,0.560869960787,-0.0324688818679,0.0724281336976,0.0,436.99899209614944,438.5830925407893,437.9712062263309,439.1954871214488
0.36000000000000004,-0.00234355423139,-0.000475187004842,9.13133020497,6.27532351579,0.0167603231076,0.0,-0.0257068938542,-0.00874572180973,0.833999016032,-0.0633150004083,0.0974242651668,0.0,488.01739772261885,489.88398754846673,490.4905000305626,488.19375722498563
0.4200000000000001,-0.00429467590706,-0.00119596175474,9.18659062129,6.2712113289,0.0229575504798,0.0,-0.0400104039594,-0.0157223024892,1.00786027039,-0.0818293854328,0.112986208025,0.0,459.88988697892887,461.1294510234798,461.2514874010813,459.78368728872437
0.48000000000000015,-0.0072087511639,-0.00241248257036,9.25060151563,6.26602746612,0.0297987385175,0.0,-0.0578356100353,-0.0253526720442,1.12570139003,-0.097599695867,0.116008979763,0.0,443.04070538582727,443.3007569548543,444.7815680297152,443.4819690875017
0.5400000000000001,-0.0113637928981,-0.00433537715221,9.32250829535,6.26022309839,0.036624069982,0.0,-0.081411061515,-0.0393742972673,1.27100328778,-0.0950734727277,0.108822661465,0.0,452.2222849259258,451.6543874911923,452.9189526062733,453.1142541054608
0.6000000000000002,-0.0171416964714,-0.00726440225355,9.40469838663,6.25459894999,0.0427119716762,0.0,-0.111919879912,-0.0589127590392,1.46838634867,-0.091188188151,0.0796947804521,0.0,469.93453900959827,467.6794677434856,468.28388188325033,468.579026606785
0.6600000000000003,-0.0247864359508,-0.0114296109413,9.49644122079,6.24866661754,0.0473641795684,0.0,-0.143394500216,-0.0805129628572,1.58950408638,-0.122278410053,0.0728309692853,0.0,446.6047054050029,446.04930377274906,446.95828560375054,444.4084545854399
0.7200000000000003,-0.0345409204079,-0.0171163308278,9.59800208298,6.24138660366,0.0518478533118,0.0,-0.182262399951,-0.109892456368,1.79549491468,-0.119509580832,0.0782728961252,0.0,471.61831105237746,472.0424201474234,472.4822459962433,472.6833035645842
0.7800000000000004,-0.0466674127041,-0.0246822614412,9.710614622,6.23452328557,0.0562950202626,0.0,-0.222451376362,-0.14307119592,1.95792341534,-0.105736174788,0.0641574569471,0.0,460.3823862967507,459.26828812531863,459.5314164666169,460.61055625359614
0.8400000000000004,-0.0611837967287,-0.0342856335267,9.83088047839,6.2288710268,0.0604445933149,0.0,-0.261825239758,-0.177630609494,2.05071395208,-0.0777035229374,0.0776434567561,0.0,438.27656580276295,439.3995838879957,438.08244712879196,440.39898520898595
0.9000000000000005,-0.0782916829949,-0.0461990141937,9.95899448441,6.22379100428,0.065312306283,0.0,-0.30895501488,-0.220002387724,2.21936485849,-0.104618902518,0.0873151806381,0.0,462.4528302504482,463.21898767798746,464.2528920125443,462.1303682190778
0.9600000000000005,-0.0980076993418,-0.0604731420527,10.0922059083,6.21747915484,0.070533619507,0.0,-0.348704496744,-0.256350153322,2.2209355319,-0.106379499553,0.0864291648186,0.0,409.9481240222675,409.876356107839,410.97804739814455,410.81130704019074
1.0200000000000005,-0.120575816325,-0.0773879597177,10.2307115473,6.21188569144,0.0758085156292,0.0,-0.40413449214,-0.308118107318,2.39546142315,-0.075089100363,0.0907303368917,0.0,465.1216954684054,465.46444092218775,465.1397196795566,467.5762268903802
1.0800000000000005,-0.146536057017,-0.0974772026989,10.3789430573,6.20743552186,0.0810757269162,0.0,-0.461771032039,-0.361986344983,2.54516199294,-0.0723919205923,0.0811374078341,0.0,459.4672629335659,458.71222017828353,459.3304730171874,459.5402123096072
1.1400000000000006,-0.175924986062,-0.120761235474,10.5343826719,6.2033048636,0.0858088573151,0.0,-0.518329479732,-0.414555137123,2.63585416041,-0.0625583358208,0.0739546976319,0.0,441.949500633563,441.3620982755879,441.55544034246753,442.36226666392156
1.2000000000000006,-0.209399849284,-0.147833441224,10.7020955816,6.20007431305,0.0901248665442,0.0,-0.598023121396,-0.488248628703,2.95367885156,-0.0404790495381,0.0675517103719,0.0,510.0385524820432,509.58431540792253,508.30813056326906,509.886237967454
1.2600000000000007,-0.24713869915,-0.178826628091,10.8819056721,6.19774275463,0.095117593151,0.0,-0.660384340253,-0.545074032511,3.03966688909,-0.0358028398381,0.103655615599,0.0,440.8963876710952,443.87450610034745,443.16272932403376,443.5461836600592
